TreeID,StandID,Plot,Tag,Easting,Northing,Cell,PrevYear,Species,PrevStatus,PrevHeight,PrevComments
001_37003,FOREG02,1,37003,46,78,E3,2022,GASH,1,1071,LEADER DIEBACK NEW GROWTH ELSEWHERE
001_37076,FOREG02,1,37076,8,73,B3,2022,BENE,1,249,
001_37098,FOREG02,1,37098,2,52,A5,2022,BENE,1,118,
001_37086,FOREG02,1,37086,61,52,H5,2022,BENE,1,295,MERISTEM SNAPPED
001_37028,FOREG02,1,37028,80,42,I6,2022,GASH,1,638,MULTISTEMMED
001_37064,FOREG02,1,37064,100,52,J5,2022,GASH,1,759,
001_37002,FOREG02,1,37002,81,41,I6,2022,GASH,1,1065,GREATER THAN 1M GROUND
001_37056,FOREG02,1,37056,83,12,I9,2022,BENE,1,203,
001_TSHE64,FOREG02,1,TSHE64,8,52,A5,2022,TSHE,3,30,TS POT MISSED LAST YEAR
002_37083,FOREG02,2,37083,17,95,B1,2022,BENE,1,743,
002_37048,FOREG02,2,37048,9,58,A4,2022,GASH,1,822,LEADER DIEBACK
002_37027,FOREG02,2,37027,21,93,C1,2022,CHUM,1,195,
002_37068,FOREG02,2,37068,27,91,C1,2022,CHUM,1,239,
002_37045,FOREG02,2,37045,42,89,E2,2022,BENE,1,257,
002_37031,FOREG02,2,37031,43,87,E2,2022,BENE,1,76,
002_37037,FOREG02,2,37037,51,79,C3,2022,GASH,1,520,DISEAXED ONLY ONE LEAF
002_37079,FOREG02,2,37079,48,61,E5,2022,BENE,1,66,
002_37059,FOREG02,2,37059,62,42,H6,2022,BENE,1,229,
002_37090,FOREG02,2,37090,43,11,E9,2022,BENE,1,236,
002_37072,FOREG02,2,37072,9,53,A6,2022,CHUM,1,443,
002_37047,FOREG02,2,37047,15,44,B6,2022,CHUM,1,312,STRESSED YELLOW
002_37091,FOREG02,2,37091,17,72,B3,2022,BENE,1,101,
002_37015,FOREG02,2,37015,69,18,G8,2022,BENE,1,332,
002_37095,FOREG02,2,37095,68,31,G7,2022,BENE,1,697,PARTIAL GROUND RUNNING
002_37035,FOREG02,2,37035,19,77,C3,2022,CHUM,1,209,
002_45271,FOREG02,2,45271,35,11,D10,2022,BENE,1,49,
002_45282,FOREG02,2,45282,29,95,D1,2022,GASH,1,432,
002_45286,FOREG02,2,45286,81,54,I5,2022,BENE,1,57,
002_45269,FOREG02,2,45269,21,39,B7,2022,GASH,1,520,LEADER DIEBACK
002_45291,FOREG02,2,45291,22,10,C10,2022,GASH,1,699,LD LEADER DIEBACK
002_47557,FOREG02,2,47557,15,85,B2,2022,CHUM,1,120,
003_37081,FOREG02,3,37081,11,15,A9,2022,TABR,1,165,
003_37039,FOREG02,3,37039,41,42,E6,2022,BENE,1,119,
003_37075,FOREG02,3,37075,5,82,A2,2022,BENE,1,594,
003_37005,FOREG02,3,37005,51,5,F10,2022,BENE,1,270,
003_37018,FOREG02,3,37018,62,32,G6,2022,BENE,1,449,
004_37080,FOREG02,4,37080,19,77,C2,2022,TSHE,1,770,UWD
004_37093,FOREG02,4,37093,55,48,F6,2022,VAPA,1,1207,GREATER THAN 1M
004_37097,FOREG02,4,37097,39,14,D8,2022,TSHE,1,368,
005_37053,FOREG02,5,37053,80,24,I8,2022,BENE,1,204,
005_45241,FOREG02,5,45241,80,19,I9,2022,BENE,1,94,MORE OF STEM VISIBLE
006_37058,FOREG02,6,37058,34,22,D8,2022,BENE,1,166,
006_37001,FOREG02,6,37001,63,22,G8,2022,BENE,1,261,DUFF MAY BE HIGHER THAN PREV YEARS
006_37073,FOREG02,6,37073,66,40,G6,2022,BENE,1,123,
006_37023,FOREG02,6,37023,79,21,H8,2022,BENE,1,246,MULTI W/37001
006_12858,FOREG02,6,12858,55,22,F8,2022,BENE,3,30,
016_37296,FOREG02,16,37296,15,66,B4,2022,GASH,1,662,
016_37300,FOREG02,16,37300,7,53,A5,2022,BENE,1,118,
016_37214,FOREG02,16,37214,8,37,A7,2022,BENE,1,121,
016_37248,FOREG02,16,37248,32,53,D5,2022,BENE,1,77,
016_37293,FOREG02,16,37293,41,97,E1,2022,BENE,1,141,B
016_37257,FOREG02,16,37257,53,97,F1,2022,BENE,1,77,B
016_37218,FOREG02,16,37218,91,78,J3,2022,BENE,1,301,STEM MORE EXPOSED
016_37298,FOREG02,16,37298,69,88,H2,2022,BENE,1,128,
016_37206,FOREG02,16,37206,78,23,H8,2022,BENE,1,317,
016_37294,FOREG02,16,37294,78,32,H7,2022,BENE,1,102,
016_37245,FOREG02,16,37245,25,23,G8,2022,CHME,1,190,STRESS
